marker,Identifier,Score,Component,Description
ACaunt,Participant 12895843,3,5,Introduction outlines specific research area
ACaunt,Participant 12895843,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895843,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895843,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895843,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895843,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895843,2,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895843,2,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895843,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895843,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895843,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895843,2,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895843,2,18,Discussion correctly interprets findings
ACaunt,Participant 12895843,2,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895843,2,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895843,2,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895843,2,22,Discussion concludes appropriately.
ACaunt,Participant 12895843,3,23,Overall clarity of writing
ACaunt,Participant 12895843,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895843,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895843,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895845,3,1,Abstract is clear and accurate
ACaunt,Participant 12895845,3,2,Abstract contains correct information
ACaunt,Participant 12895845,3,3,Introduction is clear and accurate
ACaunt,Participant 12895845,3,4,Introduction gives big-picture overview
ACaunt,Participant 12895845,3,5,Introduction outlines specific research area
ACaunt,Participant 12895845,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895845,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895845,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895845,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895845,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895845,3,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895845,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895845,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895845,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895845,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895845,3,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895845,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895845,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895845,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895845,3,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895845,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895845,3,23,Overall clarity of writing
ACaunt,Participant 12895845,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895845,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895845,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895894,4,1,Abstract is clear and accurate
ACaunt,Participant 12895894,3,2,Abstract contains correct information
ACaunt,Participant 12895894,3,3,Introduction is clear and accurate
ACaunt,Participant 12895894,3,4,Introduction gives big-picture overview
ACaunt,Participant 12895894,3,5,Introduction outlines specific research area
ACaunt,Participant 12895894,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895894,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895894,3,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895894,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895894,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895894,4,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895894,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895894,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895894,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895894,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895894,3,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895894,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895894,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895894,2,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895894,2,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895894,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895894,3,23,Overall clarity of writing
ACaunt,Participant 12895894,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895894,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895894,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895918,3,1,Abstract is clear and accurate
ACaunt,Participant 12895918,2,2,Abstract contains correct information
ACaunt,Participant 12895918,1,3,Introduction is clear and accurate
ACaunt,Participant 12895918,1,4,Introduction gives big-picture overview
ACaunt,Participant 12895918,1,5,Introduction outlines specific research area
ACaunt,Participant 12895918,1,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895918,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895918,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895918,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895918,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895918,4,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895918,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895918,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895918,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895918,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895918,4,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895918,4,18,Discussion correctly interprets findings
ACaunt,Participant 12895918,4,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895918,4,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895918,4,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895918,4,22,Discussion concludes appropriately.
ACaunt,Participant 12895918,4,23,Overall clarity of writing
ACaunt,Participant 12895918,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895918,4,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895918,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895951,3,1,Abstract is clear and accurate
ACaunt,Participant 12895951,3,2,Abstract contains correct information
ACaunt,Participant 12895951,4,3,Introduction is clear and accurate
ACaunt,Participant 12895951,4,4,Introduction gives big-picture overview
ACaunt,Participant 12895951,4,5,Introduction outlines specific research area
ACaunt,Participant 12895951,4,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895951,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895951,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895951,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895951,4,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895951,4,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895951,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895951,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895951,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
